FECHA_CREACION,GENERO_1,GENERO_2,FECHA_MATRIMONIO
04OCT2019:07:40:35,Masculino,Femenino,25JUL2008:00:00:00
04OCT2019:07:51:02,Masculino,Femenino,28OCT2011:00:00:00
04OCT2019:08:05:47,Masculino,Femenino,19MAY2010:00:00:00
04OCT2019:08:58:38,Masculino,Femenino,09DEC2014:00:00:00
04OCT2019:09:44:15,No declara,No declara,20SEP1989:00:00:00
04OCT2019:09:38:01,Masculino,No declara,28JUN1989:00:00:00
04OCT2019:09:53:06,Masculino,Femenino,29DEC1971:00:00:00
04OCT2019:09:54:14,Masculino,Femenino,23JUL1976:00:00:00
04OCT2019:10:02:01,Femenino,Masculino,15JUN1977:00:00:00
04OCT2019:10:06:03,Masculino,Femenino,07MAR2007:00:00:00
04OCT2019:10:13:13,Femenino,Masculino,22APR2016:00:00:00
04OCT2019:10:17:07,Masculino,No declara,11JAN1995:00:00:00
04OCT2019:10:19:49,Masculino,Femenino,21AUG2014:00:00:00
04OCT2019:10:30:00,Masculino,Femenino,15AUG2014:00:00:00
04OCT2019:10:46:10,Masculino,Femenino,22OCT2008:00:00:00
04OCT2019:10:57:47,No declara,Femenino,16AUG1996:00:00:00
04OCT2019:11:09:55,Masculino,Femenino,26JUL1962:00:00:00
04OCT2019:11:19:05,Masculino,Femenino,22JAN1999:00:00:00
07OCT2019:07:40:16,Masculino,Femenino,10SEP2010:00:00:00
07OCT2019:07:45:09,Masculino,Femenino,02SEP2004:00:00:00
07OCT2019:08:06:02,Masculino,Femenino,10MAY1996:00:00:00
07OCT2019:08:18:37,Masculino,Femenino,04AUG2011:00:00:00
07OCT2019:08:32:13,Masculino,Femenino,12NOV2013:00:00:00
07OCT2019:08:37:16,Masculino,Femenino,28APR2011:00:00:00
07OCT2019:08:44:56,Masculino,Femenino,07JUN2013:00:00:00
07OCT2019:08:50:54,Masculino,Femenino,15MAR2006:00:00:00
07OCT2019:09:38:04,Masculino,Femenino,11DEC2003:00:00:00
07OCT2019:09:43:03,Masculino,Femenino,06JUL2018:00:00:00
07OCT2019:09:39:13,Masculino,Femenino,02JUL1999:00:00:00
07OCT2019:09:48:01,No declara,No declara,05JAN1993:00:00:00
07OCT2019:09:52:44,Masculino,Femenino,22APR2010:00:00:00
07OCT2019:10:03:09,No declara,Femenino,21JUN1991:00:00:00
07OCT2019:10:07:20,Femenino,Masculino,28JUN2013:00:00:00
07OCT2019:10:02:02,Masculino,Femenino,22DEC2006:00:00:00
07OCT2019:10:18:14,Masculino,Femenino,07DEC2012:00:00:00
07OCT2019:10:09:52,No declara,No declara,07APR1989:00:00:00
07OCT2019:10:17:24,Masculino,Femenino,01JAN1965:00:00:00
07OCT2019:10:22:55,Masculino,No declara,03JUL1987:00:00:00
07OCT2019:10:26:41,Masculino,Femenino,23OCT2013:00:00:00
07OCT2019:10:29:41,Masculino,Femenino,25JAN1995:00:00:00
07OCT2019:10:32:06,Masculino,Femenino,11OCT2012:00:00:00
07OCT2019:10:33:55,,Femenino,13MAR1997:00:00:00
07OCT2019:10:37:09,No declara,No declara,07DEC1990:00:00:00
08OCT2019:07:33:31,No declara,No declara,05JUN1987:00:00:00
08OCT2019:07:38:20,Femenino,Femenino,22NOV2013:00:00:00
08OCT2019:07:49:13,Masculino,Femenino,08APR1999:00:00:00
08OCT2019:08:00:52,Masculino,Femenino,11JAN2008:00:00:00
08OCT2019:08:04:16,Masculino,Femenino,14JUN2005:00:00:00
08OCT2019:08:07:47,No declara,No declara,01SEP1995:00:00:00
08OCT2019:08:31:04,Masculino,Femenino,16NOV1979:00:00:00
08OCT2019:07:27:27,Masculino,Femenino,16NOV2012:00:00:00
08OCT2019:07:39:17,Masculino,Femenino,25MAR1994:00:00:00
08OCT2019:07:43:31,No declara,No declara,17JUL1992:00:00:00
08OCT2019:07:57:03,Masculino,Femenino,02DEC1993:00:00:00
08OCT2019:08:02:11,Masculino,Femenino,09JUN2008:00:00:00
08OCT2019:08:11:23,Masculino,Femenino,08SEP2006:00:00:00
08OCT2019:08:12:24,Masculino,Femenino,12OCT2001:00:00:00
08OCT2019:08:19:07,Masculino,Femenino,04JUL2008:00:00:00
08OCT2019:08:50:12,Masculino,Femenino,04SEP1968:00:00:00
08OCT2019:09:42:55,Masculino,No declara,06MAY1983:00:00:00
08OCT2019:10:21:57,Masculino,Femenino,18MAR1977:00:00:00
08OCT2019:10:06:29,Masculino,Femenino,20SEP1979:00:00:00
08OCT2019:10:44:34,Masculino,Femenino,19NOV2013:00:00:00
08OCT2019:10:59:28,No declara,No declara,27NOV1992:00:00:00
08OCT2019:11:08:52,No declara,No declara,06FEB1987:00:00:00
09OCT2019:09:55:09,Masculino,Femenino,23DEC1982:00:00:00
09OCT2019:10:02:35,No declara,No declara,20DEC1996:00:00:00
09OCT2019:10:16:05,Masculino,Femenino,22FEB2016:00:00:00
09OCT2019:10:17:38,Masculino,Femenino,15OCT1999:00:00:00
09OCT2019:10:28:58,Masculino,Femenino,19MAR2003:00:00:00
09OCT2019:10:33:11,Masculino,Femenino,14SEP2001:00:00:00
09OCT2019:10:33:25,Masculino,Femenino,18JUN1976:00:00:00
09OCT2019:10:36:58,Masculino,Femenino,06FEB1998:00:00:00
09OCT2019:10:37:28,Femenino,Masculino,08AUG2016:00:00:00
09OCT2019:10:41:29,Masculino,Femenino,22JUN2001:00:00:00
09OCT2019:10:41:30,Masculino,Femenino,18FEB2010:00:00:00
09OCT2019:10:46:53,Masculino,Femenino,04MAR2004:00:00:00
09OCT2019:10:48:13,Masculino,Femenino,23SEP1999:00:00:00
09OCT2019:10:58:16,Masculino,Femenino,07JUL1981:00:00:00
09OCT2019:11:07:09,Masculino,Femenino,12DEC2003:00:00:00
09OCT2019:11:14:15,Masculino,Femenino,15MAR2012:00:00:00
09OCT2019:11:20:45,Masculino,No declara,10MAY1991:00:00:00
09OCT2019:12:02:20,Masculino,Femenino,16JAN2002:00:00:00
09OCT2019:12:21:04,Masculino,Femenino,16NOV2005:00:00:00
09OCT2019:12:40:59,No declara,No declara,08NOV1985:00:00:00
09OCT2019:13:31:32,Masculino,Femenino,10DEC1992:00:00:00
09OCT2019:12:56:00,Masculino,Femenino,26DEC2007:00:00:00
09OCT2019:13:26:35,Masculino,Femenino,13JUN1975:00:00:00
09OCT2019:13:37:19,Masculino,Femenino,29DEC2015:00:00:00
13SEP2019:09:45:24,Masculino,Femenino,27SEP1973:00:00:00
13SEP2019:09:56:41,Masculino,Femenino,18MAY2012:00:00:00
13SEP2019:10:01:19,Masculino,Femenino,11NOV2013:00:00:00
13SEP2019:10:05:19,Masculino,Femenino,11MAR1993:00:00:00
13SEP2019:10:12:13,Masculino,Femenino,20SEP1991:00:00:00
13SEP2019:10:16:47,Masculino,Femenino,09DEC2014:00:00:00
13SEP2019:10:20:35,Masculino,Femenino,30AUG2000:00:00:00
13SEP2019:10:25:44,Masculino,Femenino,20OCT2016:00:00:00
13SEP2019:10:31:06,Masculino,Femenino,05MAR2004:00:00:00
13SEP2019:10:35:35,Masculino,Femenino,17OCT2008:00:00:00
13SEP2019:10:43:05,Masculino,Femenino,06MAR2012:00:00:00
13SEP2019:10:48:33,Masculino,Femenino,15DEC1999:00:00:00
13SEP2019:11:00:52,Masculino,Femenino,16MAR2012:00:00:00
16SEP2019:08:13:10,Masculino,Femenino,26SEP1991:00:00:00
16SEP2019:08:02:50,Masculino,No declara,25OCT1990:00:00:00
16SEP2019:08:08:43,Masculino,Femenino,24NOV2006:00:00:00
16SEP2019:08:11:41,Masculino,Femenino,23JAN1969:00:00:00
16SEP2019:08:24:02,Femenino,Masculino,16FEB2018:00:00:00
16SEP2019:08:27:29,Masculino,No declara,20DEC1991:00:00:00
